FAFB,BANC,MCNS
720575940621939071,720575941575003401,12371
720575940618291174,720575941539309554,11558
720575940645579556,720575941506151518,15927
720575940626748949,720575941610601830,12391
720575940635123225,720575941566822710,517110
720575940626179940,720575941691316376,15854
720575940613583001,720575941633862331,10540
720575940634113687,720575941402069283,17717
720575940626524056,720575941568284462,17910
720575940629911503,720575941507291415,521027
720575940630990184,720575941471797771,512106
720575940631116815,720575941496056007,17909
720575940633168012,720575941569813874,14884
720575940617282075,720575941441842523,13288
720575940616117179,720575941458935280,15426
720575940652214262,720575941436299808,14728
720575940618869249,720575941430631599,24506
720575940626196313,720575941506819422,532644
720575940609721464,720575941450069941,519920
720575940627616911,720575941668512755,512363
720575940621046511,720575941515255619,13818
720575940621054079,720575941556906404,20449
720575940621202096,720575941546575209,13603
720575940635326063,720575941432533975,13644
720575940614579423,720575941521230775,19987
720575940619412544,720575941687818991,14988
720575940626663953,720575941560330734,11191
720575940645404695,720575941463912205,13876
720575940645129672,720575941645577928,47985
720575940632973048,720575941480414176,13374
720575940608336514,720575941703424218,12423
720575940629513222,720575941659351832,10085
720575940628307026,720575941688977932,10093
720575940635452570,720575941600788521,15309
720575940625176506,720575941574459643,19904
720575940624758361,720575941537909141,15212
720575940613311151,720575941452436649,10947
720575940636360811,720575941688112111,10814
720575940609347595,720575941567453230,34402
720575940627484181,720575941541718876,10720
720575940620771521,720575941598556060,22776
720575940611965593,720575941511597777,16758
720575940618356161,720575941430344623,88528
720575940631924584,720575941491065008,11790
720575940635019365,720575941430386351,518578
720575940624450352,720575941439562559,11071
720575940611682522,720575941593248296,14058
720575940632725708,720575941392577284,14644
720575940606865330,720575941688737804,12826
720575940611811704,720575941503790059,17060
720575940612015217,720575941416979228,524058
720575940635310222,720575941688172662,18920
720575940618479296,720575941534562994,465143833
720575940620167706,720575941487218128,21532
720575940620779800,720575941392001796,23157
720575940627269306,720575941598138048,11315
720575940630442783,720575941485642637,43891
720575940619207606,720575941638577951,24908
720575940626910919,720575941658006808,23528
720575940643846180,720575941518950579,24639
720575940625976394,720575941628163897,49938
720575940621656308,720575941563479976,16814
720575940622078685,720575941567843578,17459
720575940604663520,720575941469910539,38805
720575940630352635,720575941491986919,514338
720575940633259927,720575941651202837,37440
720575940624596231,720575941614095891,104707
720575940644175895,720575941440826971,556706
720575940628028293,720575941574810511,31869
720575940628016983,720575941593241128,525142
720575940615226086,720575941448411061,28665
720575940637458997,720575941641035295,14252
720575940629704553,720575941505631804,64838
720575940623464150,720575941352533552,32196
720575940619092225,720575941564500992,17652
720575940612667414,720575941474878762,12081
720575940610956334,720575941600773161,11902
720575940622520140,720575941537792995,12543
720575940612474026,720575941491395790,58021
720575940629026174,720575941480759170,13439
720575940607831509,720575941437693996,37873
720575940612138792,720575941631632544,29773
720575940622026662,720575941515947098,19521
720575940622951181,720575941577811545,536212
720575940619036539,720575941527016036,519772
720575940632226897,720575941502187915,19052
720575940627750799,720575941503948119,512673
720575940620732329,720575941537835752,522325
720575940644909347,720575941519121580,17577
720575940623619050,720575941543108637,14880
720575940636008366,720575941448034580,19065
720575940606679142,720575941521512115,18238
720575940634835903,720575941576333494,25791
720575940629502470,720575941505485989,10916
720575940620689517,720575941550239037,533590
720575940621033808,720575941432564695,520393
720575940613579943,720575941568417582,12031
720575940639209956,720575941595410215,10061
720575940604737708,720575941456897005,10360
720575940623468691,720575941510642192,523329
720575940621519130,720575941507568709,10543
720575940634253281,720575941438773548,11876
720575940609260494,720575941557316004,12224
720575940625870640,720575941449983581,513052
720575940625353736,720575941507062807,12635
720575940637648485,720575941505767970,15673
720575940618666142,720575941411620207,13317
720575940630244060,720575941491126222,13442
720575940629805950,720575941521274551,10218
720575940622037926,720575941495998843,13229
720575940614187006,720575941542514268,12266
720575940614186449,720575941488845287,12860
720575940619744496,720575941480780451,15063
720575940620760692,720575941526676045,12453
720575940648188548,720575941669801905,12821
720575940649809273,720575941454969395,10033
720575940617031385,720575941624572042,514333
720575940623426854,720575941431747086,13622
720575940641833869,720575941632167611,14278
720575940606342089,720575941541271325,12492
720575940625887207,720575941626032074,13034
720575940646764579,720575941632059372,13030
720575940633218444,720575941430120289,11881
720575940612206810,720575941435997984,16130
720575940613589167,720575941496208071,15857
720575940627234069,720575941480917187,13852
720575940628971779,720575941483679674,13006
720575940627847752,720575941519246296,12752
720575940620473547,720575941520735411,12869
720575940640723315,720575941473933664,12781
720575940626296339,720575941430610095,37683
720575940634583694,720575941434224526,19691
720575940617918021,720575941449527477,13996
720575940617296029,720575941482970310,13022
720575940614736034,720575941476214833,12374
720575940629774274,720575941477298996,186380
720575940627949589,720575941450506830,10026
720575940629509948,720575941409214894,15835
720575940633165452,720575941451941498,10664
720575940621031006,720575941477915700,10823
720575940631309866,720575941496696263,26636
720575940618936710,720575941490799157,12134
720575940630221509,720575941483701178,12435
720575940630106309,720575941703384026,10700
720575940635210859,720575941441615963,11201
720575940645693476,720575941438445330,801976
720575940617448331,720575941645918152,402239
720575940617241019,720575941663697532,76412
720575940621782125,720575941519193516,526637
720575940611963346,720575941472794976,62193
720575940608328387,720575941560516211,56327
720575940631999685,720575941517260435,10019
720575940629153020,720575941480941903,10034
720575940622506022,720575941564728576,525408
720575940603792352,720575941456032493,28363
720575940642040973,720575941490308302,12064
720575940606892674,720575941460371667,25030
720575940627841795,720575941530060472,419175
720575940629139834,720575941439558975,512392
720575940612424362,720575941474035296,14674
720575940627181498,720575941515976185,519890
720575940618609112,720575941659254096,531732
720575940634874266,720575941703410650,524000
720575940635540671,720575941545952105,13760
720575940643919908,720575941561759789,522387
720575940613463471,720575941490593077,25145
720575940618389208,720575941539232754,65472
720575940617374242,720575941497929851,529489
720575940621768436,720575941462734480,519944
720575940604747878,720575941467829526,16402
720575940626407738,720575941455160301,16072
720575940617019426,720575941619957887,15663
720575940628319400,720575941626066634,519720
720575940610974577,720575941474874154,13371
720575940639092201,720575941448152084,25100
720575940620032379,720575941478651242,14276
720575940626120008,720575941681098685,18056
720575940613560994,720575941460127302,11516
720575940621167681,720575941586219654,13435
720575940622358604,720575941527182692,18062
720575940613254627,720575941471803403,24594
720575940624014483,720575941555469057,20168
720575940641562587,720575941453026119,11847
720575940631623020,720575941595496997,18043
720575940631248711,720575941570139124,17150
720575940618699037,720575941604238326,18695
720575940622994312,720575941486685250,522430
720575940635539448,720575941624719306,48131
720575940624351273,720575941508608385,20123
720575940630347628,720575941393131670,46949
720575940632171857,720575941643637861,25161
720575940614659690,720575941614509587,23673
720575940612796438,720575941558432783,23190
720575940629681278,720575941626338924,555875
720575940627680021,720575941481082275,14601
720575940639191017,720575941467788566,26257
720575940635718255,720575941452226426,64512
720575940640470387,720575941507297605,12973
720575940624452902,720575941479084394,11053
720575940638722138,720575941522572791,19623
720575940637663918,720575941511514066,575937
720575940625917735,720575941446483988,18774
720575940620795784,720575941502450315,523673
720575940615522706,720575941515482979,18942
720575940647935028,720575941703697114,10675
720575940631098172,720575941438664492,14179
720575940630556026,720575941591932556,71135
720575940638028607,720575941626142922,10079
720575940624539284,720575941670130609,512788
720575940622997453,720575941461364691,14221
720575940638288447,720575941655023065,10472
720575940628416232,720575941588536119,512190
720575940627552125,720575941566388790,519265
720575940612863138,720575941536732442,11444
720575940630004431,720575941524479307,20888
720575940623461629,720575941431025289,521946
720575940629287132,720575941639529845,15250
720575940631852627,720575941591593868,11395
720575940625672706,720575941442219471,515289
720575940608223701,720575941652885521,18316
720575940628637228,720575941507292951,15601
720575940614490023,720575941565396066,210670
720575940612987541,720575941503892203,19717
720575940622236374,720575941490217417,558846
720575940626358288,720575941643284856,88257
720575940625567674,720575941643222216,14004
720575940623135770,720575941557393902,15093
720575940630875971,720575941477045297,21904
720575940633575575,720575941626155419,519817
720575940660742785,720575941437980690,11663
720575940618355870,720575941538993045,524081
720575940623228967,720575941656503376,16886
720575940629991788,720575941556500452,523506
720575940635375200,720575941586271878,529125
720575940619031837,720575941595665189,13995
720575940626783881,720575941532520835,519819
720575940635547802,720575941532626917,555855
720575940620332385,720575941559248911,48527
720575940615526978,720575941652135445,27083
720575940623603726,720575941562669056,50526
720575940617760539,720575941580159221,12385
720575940616182155,720575941475460923,13136
720575940629256779,720575941653976532,15068
720575940627111752,720575941732484651,12255
720575940612508053,720575941525185538,13109
